,user_id,name,username,following_agentid_list,previous_tweets,user_char,description
0,38210037,架构阿川,码00_架构阿川,[],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
1,36212060,前端小鹿,码01_前端小鹿,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
2,282859010,后端老周,码02_后端老周,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
3,33961330,SRE阿北,码03_SRE阿北,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
4,21687246,测试小满,码04_测试小满,[],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
5,2125671,产品懂点码,码05_产品懂点码,[],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
6,429707643,开源夜航,码06_开源夜航,[],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
7,446811905,缓存猎人,码07_缓存猎人,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
8,18138649,CI巡逻员,码08_CI巡逻员,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
9,14529063,文档阿简,码09_文档阿简,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
10,837677670,性能小唐,码10_性能小唐,[103],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
11,124851931,安全老林,码11_安全老林,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
12,31734795,云账单观察,码12_云账单观察,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
13,14934122,编译器阿澈,码13_编译器阿澈,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
14,105779761,数据库小叶,码14_数据库小叶,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
15,2788072188,全栈阿许,码15_全栈阿许,[],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
16,268065930,DevRel小乔,码16_DevRel小乔,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
17,35654766,代码洁癖王,码17_代码洁癖王,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
18,16509845,灰度发布员,码18_灰度发布员,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
19,2531945155,故障复盘师,码19_故障复盘师,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
20,18242160,架构阿川2,码20_架构阿川2,"[55, 32]",[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
21,16529278,前端小鹿2,码21_前端小鹿2,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
22,158743792,后端老周2,码22_后端老周2,[],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
23,48005920,SRE阿北2,码23_SRE阿北2,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
24,15182691,测试小满2,码24_测试小满2,[],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
25,187260439,产品懂点码2,码25_产品懂点码2,[32],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
26,127677830,开源夜航2,码26_开源夜航2,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
27,103352503,缓存猎人2,码27_缓存猎人2,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
28,61209773,CI巡逻员2,码28_CI巡逻员2,"[32, 21]",[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
29,802812852,文档阿简2,码29_文档阿简2,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
30,2327585502,性能小唐2,码30_性能小唐2,[],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
31,385873148,安全老林2,码31_安全老林2,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
32,972651,云账单观察2,码32_云账单观察2,[21],"['report: amazon plans to open its first physical store, in new york URL']",关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
33,487686275,编译器阿澈2,码33_编译器阿澈2,[],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
34,69935800,数据库小叶2,码34_数据库小叶2,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
35,27519265,全栈阿许2,码35_全栈阿许2,[],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
36,97781259,DevRel小乔2,码36_DevRel小乔2,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
37,39603334,代码洁癖王2,码37_代码洁癖王2,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
38,23508588,灰度发布员2,码38_灰度发布员2,[],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
39,244185372,故障复盘师2,码39_故障复盘师2,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
40,2809464808,架构阿川3,码40_架构阿川3,"[32, 67]",[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
41,22720314,前端小鹿3,码41_前端小鹿3,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
42,966316886,后端老周3,码42_后端老周3,[],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
43,279029242,SRE阿北3,码43_SRE阿北3,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
44,24009194,测试小满3,码44_测试小满3,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
45,2373814405,产品懂点码3,码45_产品懂点码3,[32],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
46,14327196,开源夜航3,码46_开源夜航3,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
47,177300767,缓存猎人3,码47_缓存猎人3,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
48,426090051,CI巡逻员3,码48_CI巡逻员3,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
49,50441206,文档阿简3,码49_文档阿简3,[32],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
50,15197548,性能小唐3,码50_性能小唐3,[32],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
51,239145704,安全老林3,码51_安全老林3,[32],[],爱追问复现步骤,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
52,7890312,云账单观察3,码52_云账单观察3,[32],[],关注工程落地,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
53,1078319785,编译器阿澈3,码53_编译器阿澈3,[32],[],先怀疑缓存和环境,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
54,195246980,数据库小叶3,码54_数据库小叶3,[],[],喜欢拿生产案例说话,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
55,127501740,全栈阿许3,码55_全栈阿许3,[20],[],毒舌但讲证据,技术圈用户，常围绕架构、性能、CI、工程效率和真实数据讨论。
